EN;FR;RU;LU
0;In our shop we have a big variety of products!;Dans notre boutique, nous avons une grande variété de produits!;В нашем магазине большой выбор товаров!;An eisem Geschäft hu mir eng grouss Varietéit u Produkter!
1;Product name;Nom de produit;Название продукта;Produkt numm
2;Price;Prix;Цена;Präis
3;Finish;Finition;Отделка;Ofschloss
4;Stock Color;Couleur de la crosse;Цвет приклада;Hënneschten Faarf
5;Gauge;Calibre;Калибр;Kaliber
6;Add to Cart;Ajouter au chariot;Добавить в корзину;In den Warenkorb legen
7;Add new product;Ajouter un nouveau produit;Добавить новый продукт;Füügt en neit Produkt
8;Add;Ajouter;Добавить;Füügt
9;Go back;Retournez;Назад;Zréck
10;Please enter your username:;Veuillez entrer votre nom d'utilisateur:;Пожалуйста, введите свое имя пользователя:;Gitt w.e.g. Äre Benotzernumm un:
11;Please enter your password:;Veuillez entrer votre mot de passe:;Пожалуйста, введите свой пароль:;Gitt w.e.g. Äre Passwuert un:
12;Login;S'identifier;Авторизоваться;aloggen
13;Please confirm your password:;Veuillez confirmer votre mot de passe:;Пожалуйста, подтвердите свой пароль:;Gitt w.e.g. Äre Passwuert nach eng Kéier un:
14;Please choose your country:;Veuillez choisir votre pays:;Пожалуйста, выберите свою страну:;Gitt w.e.g. Äre Land un:
15;Register;S'inscrire;Зарегистрирооваться;Registréiert
16;Here is some information about our company!;Voici quelques informations sur notre entreprise!;Вот немного информации о нашей компании!;Hei ass e puer Informatiounen iwwer eis Firma!
17;Our company was founded in 2012 by a group of high-school students;Notre entreprise a été fondée en 2012 par un groupe de lycéens;Наша компания была основана в 2012 году группой студентов старших классов;Eis Firma gouf 2012 vun enger Grupp vu Lycée Schüler gegrënnt
18;Founders are former military servants Rodomanov Vladislav and Kenan Babajic;Les fondateurs sont les anciens militaires Rodomanov Vladislav et Kenan Babajic;Основатели — бывшие военные Родоманов Владислав и Кенан Бабайич;Grënner si fréier militäresch Dénger Rodomanov Vladislav a Kenan Babajic
19;We sell small arms, such as handguns and shotguns to individuals in an open shopping store;Nous qui vendons des armes légères, telles que des armes de poing et des fusils de chasse;Мы продаем стрелковое оружие, а именно пистолеты и дробовики, частным лицам в магазине;Mir, déi kleng Waffen, wéi Handwaffen a Gewierer, un Eenzelen an engem oppenen Akafsgeschäft verkafen
20;Our company is focused on safety and quality;Notre entreprise est axée sur la sécurité et la qualité;Наша компания ориентирована на безопасность и качество;Eis Firma ass op Sécherheet a Qualitéit konzentréiert
21;A safe and healthy workplace not only protects workers from injury and illness, it can also lower injury/illness costs, reduce absenteeism and turnover, increase productivity and quality, and raise employee morale. In other words, safety is good for business. Plus, protecting workers is the right thing to do.;Un lieu de travail sûr et sain protège non seulement les travailleurs contre les blessures et les maladies, mais peut également réduire les coûts des blessures/maladies, réduire l'absentéisme et le roulement du personnel, augmenter la productivité et la qualité et remonter le moral des employés. En d'autres termes, la sécurité est bonne pour les affaires. De plus, protéger les travailleurs est la bonne chose à faire.;Безопасное и здоровое рабочее место не только защищает работников от травм и болезней, но также может снизить издержки, связанные с травмами/болезнями, сократить прогулы и текучесть кадров, повысить производительность и качество, а также поднять моральный дух сотрудников. Другими словами, безопасность полезна для бизнеса. Кроме того, защита рабочих — это правильно.;Eng sécher a gesond Aarbechtsplaz schützt net nëmmen d'Aarbechter vu Verletzungen a Krankheeten, et kann och Verletzungs-/Krankheetskäschte reduzéieren, Absenteeismus an Ëmsaz reduzéieren, Produktivitéit a Qualitéit erhéijen an d'Moral vum Mataarbechter erhéijen. An anere Wierder, Sécherheet ass gutt fir d'Geschäft. Plus, d'Aarbechter schützen ass déi richteg Saach ze maachen.
22;Welcome to Emile Metz Gun Shop;Bienvenue à Emile Metz Gun Shop;Добро пожаловать в оружейный магазин Emile Metz;Wëllkomm bei Emile Metz Gun Shop
23;Discover a variety of Guns, Shotguns, Pistols & Rifles from top brands like Sig Sauer, Glock, Remington, Browning & more at Emile Metz Shop online and in person.;Découvrez une variété d'armes à feu, de fusils de chasse, de pistolets et de carabines de grandes marques telles que Sig Sauer, Glock, Remington, Browning et plus encore chez Emile Metz Shop en ligne et en personne.;Откройте для себя множество оружия, таких как Sig Sauer, Glock, Remington, Browning & More в Emile Metz Shop на сайте и лично.;Entdeckt eng Vielfalt vu Waffen, Shotguns, Pistoulen & Gewierer vun Topmarken wéi Sig Sauer, Glock, Remington, Browning a méi am Emile Metz Shop online a perséinlech.
24;How to find us?;Comment nous trouver?;Как нас найти?;Wéi fannt Dir eis?
25;You can easilly find us at this adress:;Vous pouvez facilement nous trouver à cette adresse:;Вы можете легко найти нас по этому адресу:;Dir fannt eis einfach op dëser Adress:
26;You can;Vous pouvez;Вы можете;Dir kënnt
27;write an E-mail;ecrivez un e-mail;написать электронное письмо;schreift e Mail
28;Or simply call us:;Ou appelez-nous:;Или просто позвоните нам:;Oder rufft eis einfach un:
